Pessoa,Produto,Valor,Hora
João,DEPOSITOU,50.0,2025-12-27 11:53:26
João,Refrigerante Coca-Cola,4.5,2025-12-27 11:53:27
João,Refrigerante Coca-Cola,4.5,2025-12-27 11:53:27
João,Refrigerante Coca-Cola,4.5,2025-12-27 11:53:27
João,Refrigerante Coca-Cola,4.5,2025-12-27 11:53:27
João,Refrigerante Coca-Cola,4.5,2025-12-27 11:53:27
João,Refrigerante Coca-Cola,4.5,2025-12-27 11:53:28
João,Refrigerante Coca-Cola,4.5,2025-12-27 11:53:28
José Santos,Refrigerante Coca-Cola,4.5,2025-12-27 11:55:00
José Santos,Refrigerante Coca-Cola,4.5,2025-12-27 11:55:01
José Santos,Espetinho,7.0,2025-12-27 11:55:01
José Santos,Água Mineral,3.0,2025-12-27 11:55:02
José Santos,Suco Natural,6.0,2025-12-27 11:55:02
José Santos,Água Mineral,3.0,2025-12-27 11:55:02
José Santos,Espetinho,7.0,2025-12-27 11:55:03
Pedro Alves,Refrigerante Coca-Cola,4.5,2025-12-27 11:56:02
Pedro Alves,Espetinho,7.0,2025-12-27 11:56:02
Pedro Alves,Água Mineral,3.0,2025-12-27 11:56:03
Pedro Alves,Porção Coxinha,20.0,2025-12-27 11:56:24
